x,y,z,intensity
129,5,111,85.0
129,5,112,91.0
129,5,113,100.0
129,5,114,103.0
129,6,86,102.0
129,6,87,116.0
129,6,88,101.0
129,6,89,100.0
129,6,90,101.0
129,6,91,95.0
129,6,92,84.0
129,6,93,88.0
129,6,94,87.0
129,6,95,78.0
129,6,96,64.0
129,6,97,65.0
129,6,98,61.0
129,6,99,72.0
129,6,100,82.0
129,6,101,78.0
129,6,102,73.0
129,6,103,80.0
129,6,104,81.0
129,6,105,84.0
129,6,106,79.0
129,6,107,91.0
129,6,108,114.0
129,6,109,121.0
129,7,72,102.0
129,7,73,99.0
129,7,74,85.0
129,7,75,82.0
129,7,76,76.0
129,7,77,75.0
129,7,78,87.0
129,7,79,78.0
129,7,80,77.0
129,7,81,76.0
129,7,82,74.0
129,7,83,72.0
129,7,84,65.0
129,7,85,66.0
129,7,86,54.0
129,7,87,63.0
129,7,88,66.0
129,7,89,56.0
129,7,90,52.0
129,7,91,76.0
129,7,92,55.0
129,7,93,41.0
129,7,94,54.0
129,7,95,71.0
129,7,96,65.0
129,7,97,71.0
129,7,98,89.0
129,7,99,80.0
129,7,100,112.0
129,8,69,67.0
129,8,70,60.0
129,8,71,58.0
129,8,72,56.0
129,8,73,53.0
129,8,74,54.0
129,8,75,57.0
129,8,76,59.0
129,8,77,53.0
129,8,78,50.0
129,8,79,47.0
129,8,80,41.0
129,8,81,45.0
129,8,82,50.0
129,8,83,58.0
129,8,84,59.0
129,8,85,81.0
129,8,86,66.0
129,8,87,66.0
129,8,88,109.0
129,8,89,111.0
130,5,98,106.0
130,5,99,114.0
130,5,100,109.0
130,5,101,98.0
130,5,102,87.0
130,5,103,77.0
130,5,104,81.0
130,5,105,83.0
130,5,106,79.0
130,5,107,83.0
130,5,108,90.0
130,5,109,92.0
130,5,110,91.0
130,5,111,101.0
130,6,85,88.0
130,6,86,96.0
130,6,87,102.0
130,6,88,101.0
130,6,89,92.0
130,6,90,92.0
130,6,91,90.0
130,6,92,74.0
130,6,93,69.0
130,6,94,70.0
130,6,95,78.0
130,6,96,70.0
130,6,97,64.0
130,6,98,56.0
130,6,99,63.0
130,6,100,71.0
130,6,101,79.0
130,6,102,76.0
130,6,103,91.0
130,6,104,96.0
130,6,105,104.0
130,6,106,110.0
130,7,69,120.0
130,7,70,109.0
130,7,71,101.0
130,7,72,92.0
130,7,73,89.0
130,7,74,80.0
130,7,75,85.0
130,7,76,92.0
130,7,77,85.0
130,7,78,79.0
130,7,79,79.0
130,7,80,74.0
130,7,81,62.0
130,7,82,60.0
130,7,83,57.0
130,7,84,57.0
130,7,85,68.0
130,7,86,50.0
130,7,87,54.0
130,7,88,63.0
130,7,89,63.0
130,7,90,48.0
130,7,91,72.0
130,7,92,60.0
130,7,93,47.0
130,7,94,60.0
130,7,95,77.0
130,7,96,84.0
130,7,97,87.0
130,8,64,62.0
130,8,65,72.0
130,8,66,64.0
130,8,67,52.0
130,8,68,49.0
130,8,69,52.0
130,8,70,49.0
130,8,71,49.0
130,8,72,53.0
130,8,73,52.0
130,8,74,52.0
130,8,75,52.0
130,8,76,52.0
130,8,77,53.0
130,8,78,48.0
130,8,79,48.0
130,8,80,42.0
130,8,81,45.0
130,8,82,57.0
130,8,83,62.0
130,8,84,62.0
130,8,85,83.0
130,8,86,78.0
130,8,87,84.0
130,9,67,65.0
130,9,68,61.0
130,9,69,64.0
130,9,70,64.0
130,9,71,71.0
131,5,96,124.0
131,5,97,112.0
131,5,98,101.0
131,5,99,96.0
131,5,100,95.0
131,5,101,90.0
131,5,102,84.0
131,5,103,78.0
131,5,104,77.0
131,5,105,87.0
131,6,83,121.0
131,6,84,104.0
131,6,85,98.0
131,6,86,103.0
131,6,87,93.0
131,6,88,101.0
131,6,89,82.0
131,6,90,75.0
131,6,91,79.0
131,6,92,76.0
131,6,93,68.0
131,6,94,56.0
131,6,95,57.0
131,6,96,57.0
131,6,97,68.0
131,6,98,68.0
131,6,99,67.0
131,6,100,73.0
131,6,101,84.0
131,6,102,92.0
131,6,103,116.0
131,7,65,116.0
131,7,66,111.0
131,7,67,108.0
131,7,68,114.0
131,7,69,114.0
131,7,70,102.0
131,7,71,101.0
131,7,72,97.0
131,7,73,88.0
131,7,74,91.0
131,7,75,88.0
131,7,76,85.0
131,7,77,81.0
131,7,78,72.0
131,7,79,68.0
131,7,80,55.0
131,7,81,46.0
131,7,82,53.0
131,7,83,49.0
131,7,84,47.0
131,7,85,60.0
131,7,86,57.0
131,7,87,52.0
131,7,88,52.0
131,7,89,70.0
131,7,90,49.0
131,7,91,56.0
131,7,92,63.0
131,7,93,63.0
131,7,94,71.0
131,7,95,80.0
131,8,62,49.0
131,8,63,49.0
131,8,64,50.0
131,8,65,44.0
131,8,66,40.0
131,8,67,46.0
131,8,68,43.0
131,8,69,43.0
131,8,70,42.0
131,8,71,41.0
131,8,72,50.0
131,8,73,48.0
131,8,74,48.0
131,8,75,55.0
131,8,76,45.0
131,8,77,46.0
131,8,78,41.0
131,8,79,47.0
131,8,80,51.0
131,8,81,53.0
131,8,82,64.0
131,8,83,78.0
131,8,84,73.0
131,8,85,76.0
131,8,86,69.0
131,8,87,105.0
131,9,62,54.0
131,9,63,55.0
131,9,64,60.0
131,9,65,55.0
131,9,66,57.0
131,9,67,58.0
131,9,68,58.0
131,9,69,59.0
131,9,70,58.0
131,9,71,66.0
131,9,72,65.0
132,5,96,110.0
132,5,97,105.0
132,5,98,99.0
132,5,99,95.0
132,5,100,88.0
132,5,101,86.0
132,5,102,84.0
132,5,103,96.0
132,5,104,100.0
132,5,105,112.0
132,6,83,115.0
132,6,84,94.0
132,6,85,103.0
132,6,86,111.0
132,6,87,96.0
132,6,88,98.0
132,6,89,89.0
132,6,90,75.0
132,6,91,64.0
132,6,92,70.0
132,6,93,74.0
132,6,94,65.0
132,6,95,61.0
132,6,96,57.0
132,6,97,65.0
132,6,98,63.0
132,6,99,71.0
132,6,100,81.0
132,6,101,100.0
132,6,102,114.0
132,6,103,146.0
132,7,65,111.0
132,7,66,111.0
132,7,67,111.0
132,7,68,102.0
132,7,69,103.0
132,7,70,94.0
132,7,71,93.0
132,7,72,96.0
132,7,73,86.0
132,7,74,88.0
132,7,75,79.0
132,7,76,67.0
132,7,77,64.0
132,7,78,63.0
132,7,79,62.0
132,7,80,45.0
132,7,81,43.0
132,7,82,50.0
132,7,83,48.0
132,7,84,43.0
132,7,85,45.0
132,7,86,63.0
132,7,87,58.0
132,7,88,42.0
132,7,89,55.0
132,7,90,52.0
132,7,91,54.0
132,7,92,71.0
132,7,93,78.0
132,7,94,85.0
132,7,95,88.0
132,8,62,48.0
132,8,63,39.0
132,8,64,36.0
132,8,65,33.0
132,8,66,33.0
132,8,67,44.0
132,8,68,42.0
132,8,69,40.0
132,8,70,43.0
132,8,71,39.0
132,8,72,48.0
132,8,73,46.0
132,8,74,42.0
132,8,75,55.0
132,8,76,46.0
132,8,77,44.0
132,8,78,47.0
132,8,79,49.0
132,8,80,55.0
132,8,81,59.0
132,8,82,59.0
132,8,83,78.0
132,8,84,87.0
132,8,85,102.0
132,8,86,85.0
132,8,87,127.0
132,9,62,44.0
132,9,63,43.0
132,9,64,50.0
132,9,65,48.0
132,9,66,50.0
132,9,67,51.0
132,9,68,53.0
132,9,69,59.0
132,9,70,53.0
132,9,71,61.0
132,9,72,63.0
133,5,96,108.0
133,5,97,101.0
133,5,98,92.0
133,5,99,93.0
133,5,100,91.0
133,5,101,94.0
133,6,81,123.0
133,6,82,126.0
133,6,83,115.0
133,6,84,88.0
133,6,85,102.0
133,6,86,117.0
133,6,87,91.0
133,6,88,73.0
133,6,89,83.0
133,6,90,81.0
133,6,91,64.0
133,6,92,52.0
133,6,93,60.0
133,6,94,61.0
133,6,95,61.0
133,6,96,66.0
133,6,97,68.0
133,6,98,67.0
133,7,64,113.0
133,7,65,112.0
133,7,66,109.0
133,7,67,105.0
133,7,68,98.0
133,7,69,96.0
133,7,70,87.0
133,7,71,84.0
133,7,72,86.0
133,7,73,77.0
133,7,74,70.0
133,7,75,64.0
133,7,76,64.0
133,7,77,52.0
133,7,78,49.0
133,7,79,59.0
133,7,80,48.0
133,7,81,51.0
133,7,82,47.0
133,7,83,46.0
133,7,84,51.0
133,7,85,43.0
